workload_id,memory_mb,target_duration_sec,alloc_time_sec,exec_time_sec,free_time_sec,total_time_sec,trial,submission_time,completion_time,turnaround_time,status
job_1,1024,2,0.006958723068237305,2.542189598083496,0.7116076946258545,3.260756015777588,0,0.0005602836608886719,3.26132869720459,3.260768413543701,success
job_2,1024,2,0.06303095817565918,2.6867353916168213,0.08702993392944336,2.836796283721924,0,0.5008339881896973,3.337646484375,2.8368124961853027,success
job_3,1024,2,0.39046263694763184,2.4785077571868896,0.3748652935028076,3.243835687637329,0,1.000939130783081,4.244790554046631,3.24385142326355,success
job_4,1024,2,0.7186582088470459,2.0803446769714355,0.07889032363891602,2.8778932094573975,0,1.5010309219360352,4.378936052322388,2.8779051303863525,success
job_1,1024,2,0.006644725799560547,2.539069414138794,0.9153358936309814,3.461050033569336,1,0.0005414485931396484,3.4616031646728516,3.461061716079712,success
job_2,1024,2,0.06241202354431152,2.8134536743164062,0.19100260734558105,3.066868305206299,1,0.5008361339569092,3.5677201747894287,3.0668840408325195,success
job_3,1024,2,0.38908934593200684,2.185472249984741,0.3618183135986328,2.936379909515381,1,1.0024447441101074,3.9388411045074463,2.936396360397339,success
job_4,1024,2,0.7170217037200928,2.016242265701294,0.0985867977142334,2.83185076713562,1,1.5044419765472412,4.3363049030303955,2.8318629264831543,success
job_1,1024,2,0.006434202194213867,2.537975788116455,0.7080681324005127,3.2524781227111816,2,0.0005018711090087891,3.2529895305633545,3.2524876594543457,success
job_2,1024,2,0.06192827224731445,2.6903746128082275,0.06563830375671387,2.817941188812256,2,0.5005781650543213,3.3185348510742188,2.8179566860198975,success
job_3,1024,2,0.38799476623535156,2.7436306476593018,0.18410062789916992,3.3157260417938232,2,1.0018954277038574,4.31763768196106,3.315742254257202,success
job_4,1024,2,0.7117676734924316,2.1028521060943604,0.07020139694213867,2.8848211765289307,2,1.5028927326202393,4.387728929519653,2.884836196899414,success
